Feature,Bin_0,Bin_1
lanes,-0.091018364,0.046319634
maxspeed,0.0001519991,0.004815505
oneway,-0.31033647,0.25864074
reversed,0.025606234,-0.008557857
length,-0.0012612127,0.0015775019
bc,-8.4316844e-07,9.594767e-07
traffic_signals,0.1633543,-0.13585347
tree,0.013534557,0.011050434
street_lamp,0.11775537,-0.15147091
primary,0.070811406,-0.059223734
primary_link,-0.01131944,0.005126427
unclassified,0.3377149,-0.35510567
crossing,-0.27148345,0.27016014
water,0.23518096,-0.24156225
tertiary_link,0.14096181,-0.15692998
tertiary,-0.20069821,0.20518053
footway,-0.065545805,0.04166193
wetland,1.225e-42,-2.098e-42
scrub,0.07054435,-0.06464692
tree_row,-0.12935796,0.09618121
cycleway,0.17219579,-0.1739642
mini_roundabout,3.24e-42,-4.829e-42
barracks,7.76e-43,-1.312e-42
bollard,-0.027573068,0.060039245
furniture,-0.001574004,-0.005864495
military,-2.9e-43,1.57e-42
service,-0.1241595,0.11674312
yes,-0.04959491,0.065949544
helipad,2.108e-42,-3.37e-42
apartments,0.11160411,-0.12725247
fence,-0.2717418,0.2436583
trunk,0.04266144,-0.041966695
grass,0.04700874,-0.07174643
roof,-0.005852391,0.06275338
chain,-0.0022389062,0.002611125
wall,0.2439264,-0.20607659
tent,4.152e-42,-3.781e-42
gate,-0.147794,0.13531409
height_restrictor,-0.10881657,0.1177716
islet,0.0061766156,-0.0059717856
industrial,-3.216358e-05,0.010785201
disused,0.01791422,-0.017515292
abandoned,-1.483e-42,2.203e-42
substation,0.07397487,-0.12557387
residential,0.04303825,-0.03777703
detached,0.020793263,-0.020576179
garage,0.13218361,-0.14743641
motorway_link,0.0002570721,-0.00035160326
switch,-0.05070289,0.03250584
give_way,-0.176675,0.15696628
hedge,-0.019514414,0.013286204
steps,0.14893335,-0.22239488
bus_stop,0.13004528,-0.11833038
turning_circle,-0.012977151,0.0046025366
construction,-0.1579192,0.1658162
kerb,-0.07248596,0.08357699
picnic_table,0.08216535,-0.06946319
pitch,0.10857842,-0.13196103
playground,0.11340331,-0.13415581
park,0.18108842,-0.12494477
shed,0.29671142,-0.27426058
cycle_barrier,-0.011780674,0.02026488
allotment_house,-0.037887473,0.04724292
path,-0.20603615,0.24259922
garden,0.10466848,-0.10896163
parking,-0.047559433,0.04574464
garages,-0.10838748,0.11194545
terrace,-0.058831025,0.044570677
artwork,-0.09302409,0.10076716
school,-0.1622893,0.15826935
swing_gate,0.02710791,-0.031205341
meadow,-0.005445979,0.0133204
motorway,0.0638573,-0.060567874
light_rail,-0.11582626,0.11853732
holding_position,-5.21e-43,2.033e-42
navigationaid,-5.72e-43,1.9e-42
taxiway,-4.9e-43,1.181e-42
parking_position,2.4e-44,-7.88e-43
